trial_number,forced_side,delay_duration_s,delay_start_time,delay_end_time,delay_start_frame,delay_end_frame
1,right,4.939,257.067236,262.006716,5412.0,5559.0
2,left,30.081,456.053984,486.135164,11333.0,12228.0
3,left,5.04,688.783964,693.824014,18258.0,18408.0
4,right,30.078,914.421351,944.499123,24965.0,25860.0
5,right,29.944,1437.514767,1467.458657,40526.0,41416.0
6,left,5.04,1834.112381,1839.152712,52325.0,52475.0
7,right,5.512,2216.492839,2222.004723,63703.0,63867.0
8,left,30.179,2432.284365,2462.463806,70124.0,71022.0
9,left,5.511,2819.269724,2824.780927,81623.0,81787.0
10,left,30.579,3197.520441,3228.098971,92877.0,93780.0
11,right,30.514,3541.08211,3571.596414,103093.0,104001.0
12,right,5.109,3808.929401,3814.038569,111062.0,111214.0
